"","V1","V2","V3","V4","linenumber"
"981","Stage: NPRM","","","",4
"982","Previous Stage:None","","","",5
"983","Abstract: This rulemaking would propose changes to the hours of service requirements for drivers operating a commercial motor vehicle transporting property. The requirement for this rulemaking was established on October 26, 2009, when Public Citizen, et al. (Petitioners)   and FMCSA entered into a settlement agreement under which Petitionerså« petition for judicial review of the November 19, 2008, Final Rule on driverså« hours of service will be held in abeyance pending the publication of an NPRM reevaluating the Hours of Service rule.","","","",6
"985","Effects:","","","",7
"9861","Economically Significant Major","Economically Significant Major","","",8
"987","Regulatory Flexibility Act EIS","Regulatory Flexibility Act EIS","","",9
"8521","","","","",10
"8921","","","","",11
"9321","","","","",12
"9721","","","","",13
"1012","","","","",14
"988","Prompting action: Settlement Agreement","","","",15
"989","Legal Deadline: Final Rule : 07/26/2011 NPRM to OMB : 07/26/2010","","","",16
"9911","Rulemaking Project Initiated: 10/26/2009","","","",17
"992","Docket Number: Dates for NPRM:","","","",18
"10742","Dates for Unknown","","","",19
"999","Explanation for any delay: Additional coordination necessary Unanticipated issues requiring further analysis Unanticipated issues requiring further analysis","","","",20
"1000","Unanticipated issues requiring further analysis","","","",21
"1154","","","","",22
"1194","","","","",23
"1001","Federal Register Citation for NPRM: 75 FR 82170","","","",24
"1002","Federal Motor Carrier Safety Administration","","","",1
"1005","Popular Title: Restricting the Use of Cellular Phones","","Drivers of Commercial Vehicles: Restricting the Use of Cellular Phones","Red",2
"1006","RIN 2126-AB29","","","",3
"10072","Stage: NPRM","","","",4
"1008","Previous Stage:None","","","",5
"1009","Abstract: This rulemaking would restrict the use of mobile telephones while operating a commercial motor vehicle. This rulemaking is in response to Federal Motor Carrier Safety Administration-sponsored studies that analyzed safety incidents and distracted drivers. This rulemaking addresses an item on the National Transportation Safety Boardå«s ""Most Wanted List"" of safety recommendations.","","","",6
"1010","Effects:","","","",7
"1011","None","None","","",8
"8361","","","","",9
"8761","","","","",10
"9171","","","","",11
"9581","","","","",12
"9991","","","","",13
"1040","","","","",14
"10121","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"10131","Legal Deadline: None","","","",16
"1014","Rulemaking Project Initiated: 12/01/2009","","","",17
"1015","Docket Number: Dates for NPRM:","","","",18
"1102","Dates for Unknown","","","",19
"1022","Explanation for any delay: Additional coordination necessary Unanticipated issues requiring further analysis Unanticipated issues requiring further analysis","","","",20
"1023","Unanticipated issues requiring further analysis","","","",21
"1183","","","","",22
"1224","","","","",23
"10241","Federal Register Citation for NPRM: 75 FR 80014","","","",24
"1025","Federal Motor Carrier Safety Administration","","","",1
"1028","Popular Title: Distracted Driving","","Drivers of CMVs: Addressing Distracted Driving","Red",2
"1029","RIN 2126-AB32","","","",3
"1030","Stage: ANPRM","","","",4
"10312","Previous Stage:None","","","",5
"1032","Abstract: The Federal Motor Carrier Safety Administration (FMCSA) and Pipeline and Hazardous Materials Safety Administration (PHMSA) are considering a rulemaking to limit or restrict the use of electronic devices or certain activities by commercial motor vehicle (CMV) drivers operating in interstate commerce and for drivers of CMVs containing a quantity of hazardous materials requiring placarding under Part 172 of the 49 CFR or any quantity of a select agent or toxin listed in 42 CFR Part 73. The Agencies have considered the results of recent research concerning distracted driving, and ideas and concepts from FMCSA's Motor Carrier Safety Advisory Committee and now seeks public comment and information to assist the Agencies in determining whether additional regulatory action is needed as a follow-up to previous regulatory actions.","","","",6
"1033","Effects:","","","",7
"1034","None","None","","",8
"8581","","","","",9
"8991","","","","",10
"9411","","","","",11
"9832","","","","",12
"10251","","","","",13
"10673","","","","",14
"1035","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"1036","Legal Deadline: None","","","",16
"1037","Rulemaking Project Initiated: 08/20/2010","","","",17
"10381","Docket Number: Dates for ANPRM:","","","",18
"1130","Dates for Unknown","","","",19
"1045","Explanation for any delay: Additional coordination necessary Federal Register Citation for ANPRM: None  ","","","",20
"1171","","","","",21
"1212","","","","",22
"1254","","","","",23
"1046","Federal Register Citation for ANPRM: None","","","",24
"1047","Federal Railroad Administration","","","",1
"1051","Popular Title: Roadway Worker Protection; Adjacent-Track On-Track","","Roadway Worker Protection; Adjacent-Track On-Track Safety","Red",2
"1052","RIN 2130-AB96","","","",3
"1053","Stage: Final Rule","","","",4
"1054","Previous Stage: NPRM: Publication Date 11/25/2009; End of Comment Period 1/25/2010.","","","",5
"1055","Abstract: This rulemaking would simplify the determination regarding whether or not adjacent track protection is required for roadway work groups engaged in large-scale maintenance or construction, pursuant to 49 CFR Part 214. The recent increase in roadway worker fatalities that have occurred on adjacent track has caused some concern at FRA and throughout the industry, even prompting the filing of a petition for emergency order. FRA issued a notice of safety advisory to address the issue in May of 2004; however, it appears that the effects were not long-lasting. This rulemaking is based on the consensus language developed through the Roadway Worker Protection (RWP) Working Group of FRAå«s Railroad Safety Advisory Committee (RSAC).","","","",6
"1056","Effects:","","","",7
"1057","None","None","","",8
"8791","","","","",9
"9211","","","","",10
"9641","","","","",11
"10071","","","","",12
"1050","","","","",13
"1093","","","","",14
"1058","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"1059","Legal Deadline: None","","","",16
"1060","Rulemaking Project Initiated: 08/20/2008","","","",17
"1061","Docket Number: FRA-2008-0059","","","",18
"1062","Dates for Final Rule:","","","",19
"1068","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None  ","","","",20
"1198","","","","",21
"1240","","","","",22
"1283","","","","",23
"1069","Federal Register Citation for Final Rule: None","","","",24
"1070","Federal Railroad Administration","","","",1
"1073","Popular Title: Critical Incident Stress Plan","","Critical Incident Stress Plan; ""Critical Incident"" Definition","Green",2
"10741","RIN 2130-AC00","","","",3
"1075","Stage: NPRM","","","",4
"1076","Previous Stage:None","","","",5
"1077","Abstract: This rulemaking would seek to define the term ""critical incident."" This rulemaking would also seek to define program elements appropriate for the rail environment for certain railroadå«s critical incident response programs, so that appropriate action is taken when a railroad employee is involved in or directly witnesses a critical incident.","","","",6
"1078","Effects:","","","",7
"1079","None","None","","",8
"9001","","","","",9
"9431","","","","",10
"9872","","","","",11
"10311","","","","",12
"10751","","","","",13
"1119","","","","",14
"1080","Prompting action: None","","","",15
"1081","Legal Deadline: None","","","",16
"1082","Rulemaking Project Initiated: 11/14/2008","","","",17
"1083","Docket Number: FRA-2008-0131","","","",18
"1084","Dates for NPRM:","","","",19
"1092","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"1226","","","","",21
"1269","","","","",22
"1313","","","","",23
"10931","Federal Register Citation for NPRM: None","","","",24
"1094","Federal Railroad Administration","","","",1
"1097","Popular Title: Training Standards for RR Employees","","Training Standards for Railroad Employees","Green",2
"1098","RIN 2130-AC06","","","",3
"1099","Stage: NPRM","","","",4
"1100","Previous Stage:None","","","",5
"1101","Abstract: This rulemaking will (1) establish minimum training standards for each class or craft of safety-related employee and equivalent railroad contractor and subcontractor employee that require railroads, contractors, and subcontractors to qualify or otherwise document the proficiency of such employees in each such class and craft regarding their knowledge and ability to comply with Federal railroad safety laws and regulations and railroad rules and procedures intended to implement those laws and regulations, etc.; (2) require submission of railroadså«, contractorså«, and subcontractorså« training and qualification programs for FRA approval; and (3) establish a minimum training curriculum and ongoing training criteria, testing, and skills evaluation measures for track and equipment inspectors employed by railroads and railroad contractor and subcontractors. This rulemaking was recently upgraded to significant.","","","",6
"11021","Effects:","","","",7
"1103","None","None","","",8
"9221","","","","",9
"9661","","","","",10
"10111","","","","",11
"10562","","","","",12
"11011","","","","",13
"1146","","","","",14
"11041","Prompting action: None","","","",15
"1105","Legal Deadline: Final Rule : 10/16/2009 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0033","","","",16
"1163","Rulemaking Project Initiated: Unknown","","","",17
"1185","Docket Number: Unknown","","","",18
"1106","Dates for NPRM:","","","",19
"1113","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"12542","","","","",21
"1298","","","","",22
"1343","","","","",23
"1114","Federal Register Citation for NPRM: None","","","",24
"1115","Federal Railroad Administration","","","",1
"11191","Popular Title: Vehicle/Track Interaction, High Speed, High Cant","","Deficiency Operations","",2
"1120","RIN 2130-AC09","","","",3
"1121","Stage: Final Rule","","","",4
"1122","Previous Stage:None","","","",5
"1123","Abstract: This rulemaking would amend the Track Safety Standards and Passenger Equipment Safety Standards for high-speed train operations and train operations at high cant deficiencies to promote the safe interaction of rail vehicles with the track over which they operate. It would revise both the safety limits for these operations and the process to qualify them. It accounts for a range of vehicle types that are currently used and may likely be used on future high-speed or high cant deficiency rail operations, and would provide safety assurance for train operations in all classes of track. It is based on the results of simulation studies designed to identify track geometry irregularities associated with unsafe wheel forces and acceleration, thorough reviews of vehicle qualification and revenue service test data, and consideration of international practices. This rulemaking was recently upgraded to  significant.","","","",6
"1124","Effects:","","","",7
"11252","None","None","","",8
"9421","","","","",9
"9871","","","","",10
"10331","","","","",11
"10791","","","","",12
"11251","","","","",13
"11713","","","","",14
"1126","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"1127","Legal Deadline: None","","","",16
"1128","Rulemaking Project Initiated: 06/19/2008","","","",17
"1129","Docket Number: FRA-2009-0036","","","",18
"11301","Dates for Final Rule:","","","",19
"1136","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"1281","","","","",21
"1326","","","","",22
"1372","","","","",23
"1137","Federal Register Citation for Final Rule: None","","","",24
"1138","Federal Railroad Administration","","","",1
"1141","Popular Title: Controlled Substance Testing/Maintenance Employees","","Alcohol and Controlled Substance Testing for Maintenance-of-Way Employees","Red",2
"1142","RIN 2130-AC10","","","",3
"1143","Stage: NPRM","","","",4
"1144","Previous Stage:None","","","",5
"1145","Abstract: This rulemaking would revise the Federal Railroad Administrationå«s alcohol and drug regulations to cover all employees of railroads, railroad contractors, and subcontractors who perform maintenance-of-way activities. The rulemaking would also make other miscellaneous updates to 14 CFR Part 219.","","","",6
"11461","Effects:","","","",7
"1147","None","None","","",8
"9631","","","","",9
"10091","","","","",10
"10561","","","","",11
"11031","","","","",12
"1150","","","","",13
"1197","","","","",14
"1148","Prompting action: Statute","","","",15
"1149","Legal Deadline: Final Rule : 10/16/2010 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0039","","","",16
"1215","Rulemaking Project Initiated: Unknown","","","",17
"1238","Docket Number: Unknown","","","",18
"11502","Dates for NPRM:","","","",19
"1157","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None  ","","","",20
"1309","","","","",21
"1355","","","","",22
"1402","","","","",23
"1158","Federal Register Citation for NPRM: None","","","",24
"1159","Federal Railroad Administration","","","",1
"1162","Popular Title: Risk Reduction Program","","Risk Reduction Program","Red",2
"11632","RIN 2130-AC11","","","",3
"11641","Stage: ANPRM","","","",4
"1165","Previous Stage:None","","","",5
"1166","Abstract: This rulemaking would consider appropriate contents for Risk Reduction Programs and how they should be implemented and reviewed by FRA.","","","Red",6
"1167","Effects:","","","",7
"1168","Economically Significant Major","Economically Significant Major","","",8
"9831","","","","",9
"10301","","","","",10
"10781","","","","",11
"11261","","","","",12
"1174","","","","",13
"1222","","","","",14
"1169","Prompting action: Statute","","","",15
"1170","Legal Deadline: Final Rule : 10/16/2012 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0038","","","",16
"1241","Rulemaking Project Initiated: Unknown","","","",17
"1265","Docket Number: Unknown","","","",18
"11712","Dates for ANPRM:","","","",19
"1178","Explanation for any delay: Additional coordination necessary Federal Register Citation for ANPRM: 75 FR 76345  ","","","",20
"1337","","","","",21
"1384","","","","",22
"1432","","","","",23
"1179","Federal Register Citation for ANPRM: 75 FR 76345","","","",24
"1180","Federal Railroad Administration","","","",1
"11831","Popular Title: Hours of Service - Passenger Train Employees","","Hours of Service: Passenger Train Employees","Red",2
"1184","RIN 2130-AC15","","","",3
"11851","Stage: NPRM","","","",4
"1186","Previous Stage:None","","","",5
"1187","Abstract: This rulemaking would establish hours of service requirements for train employees engaged in commuter and intercity passenger rail transport.","","","",6
"1188","Effects:","","","",7
"1189","Information Collection","Information Collection","","",8
"10031","","","","",9
"10511","","","","",10
"11001","","","","",11
"11491","","","","",12
"11983","","","","",13
"1247","","","","",14
"1190","Prompting action: Statute","","","",15
"1191","Legal Deadline: Final Rule : 10/16/2011 Rulemaking Project Initiated: 10/16/2008 Docket Number:","","","",16
"1267","Rulemaking Project Initiated: Unknown","","","",17
"1292","Docket Number: Unknown","","","",18
"1192","Dates for NPRM:","","","",19
"1199","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None  ","","","",20
"1365","","","","",21
"1413","","","","",22
"1462","","","","",23
"1200","Federal Register Citation for NPRM: None","","","",24
"1201","Federal Railroad Administration","","","",1
"1204","Popular Title: High-Speed Rail Corridor Development","","High-Speed Rail Corridor Development and Capital Investment Grants to Support Intercity Passenger Rail Service","Red",2
"1205","RIN 2130-AC17","","","",3
"1206","Stage: NPRM","","","",4
"1207","Previous Stage: : None","","","",5
"1208","Abstract: This rulemaking would prescribe procedures and schedules for the awarding of grants to eligible applicants under this title to assist in financing the capital costs of facilities, infrastructure, and equipment necessary to provide or improve intercity passenger rail transportation.","","","",6
"1209","Effects:","","","",7
"1210","Economically Significant Major","Economically Significant Major","","",8
"10231","","","","",9
"1072","","","","",10
"11221","","","","",11
"11721","","","","",12
"12223","","","","",13
"1272","","","","",14
"1211","Prompting action: Statute","","","",15
"12121","Legal Deadline: Final Rule - High Speed Development : 10/16/2009 Final Rule - Capital Investment Grants : 10/16/2010","","","",16
"1213","Rulemaking Project Initiated: 10/16/2008","","","",17
"1214","Docket Number: FRA-2009-0106","","","",18
"12151","Dates for NPRM:","","","",19
"1223","Explanation for any delay: Additional coordination necessary Lack of resources Lack of resources","","","",20
"12241","Lack of resources","","","",21
"1442","","","","",22
"1492","","","","",23
"1225","Federal Register Citation for NPRM: None","","","",24
"12261","Federal Railroad Administration","","","",1
"1229","Popular Title: Medical Standards for Engineers and Conductors","","Medical Standards for Certified Locomotive Engineers and Conductors","Green",2
"1230","RIN 2130-AC25","","","",3
"1231","Stage: NPRM","","","",4
"1232","Previous Stage:None","","","",5
"1233","Abstract: This rulemaking would create a medical standards program for certified locomotive engineers and conductors to reduce the risk of railroad accidents due to medical conditions that pose a risk of sudden incapacitation. The rulemaking would revise the  existing hearing and vision requirements for locomotive engineers in 49 CFR part 240 and apply these requirements to train conductors in 49 CFR part 242 (See Sec. 402 of the Rail Safety Improvement Act of 2008). It would also contain medical standards for the  assessment of certain conditions that pose a risk of sudden incapacitation (specifically,  stroke, syncope, seizures, cardiovascular disease, insulin-dependent diabetes, and obstructive sleep apnea). These standards, which are being developed by a physicians task force, would be applied by railroad physicians in required triennial and discretionary interim medical assessments of engineers and conductors.","","","",6
"1234","Effects:","","","",7
"1235","None","None","","",8
"10461","","","","",9
"10961","","","","",10
"11471","","","","",11
"11981","","","","",12
"1249","","","","",13
"1300","","","","",14
"1236","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"1237","Legal Deadline: None","","","",16
"12381","Rulemaking Project Initiated: 11/29/2010","","","",17
"1239","Docket Number: FRA-2010-0178","","","",18
"12401","Dates for NPRM:","","","",19
"1246","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"1420","","","","",21
"1470","","","","",22
"1521","","","","",23
"12473","Federal Register Citation for NPRM: None","","","",24
"1248","Federal Transit Administration","","","",1
"1252","Popular Title: Capital Project Management","","Capital Project Management","Green",2
"1253","RIN 2132-AA92","","","",3
"12541","Stage: NPRM","","","",4
"1255","Previous Stage: ANPRM: Publication Date 9/10/2009; End of Comment Period 11/9/2009; Extension of Comment Period 11/10/2009; End of Extended Comment Period 1/8/2010.","","","",5
"1256","Abstract: This rulemaking would transform the FTAå«s Project Management Oversight rule at 49 CFR Part 633 into a Capital Project Management rule governing all major capital projects funded under 49 U.S.C. Chapter 53. The rulemaking will consider the appropriate scope of such a rule; the definition of ""major capital project""; the technical capacity and capability of project sponsors; the requirements for Project Management Plans; readiness criteria for major capital projects; the role of risk assessments in project development; and financial plans for major capital projects. This rulemaking was recently upgraded to significant.","","","",6
"1257","Effects:","","","",7
"1258","None","None","","",8
"10671","","","","",9
"1118","","","","",10
"11701","","","","",11
"12221","","","","",12
"1274","","","","",13
"13262","","","","",14
"1259","Prompting action: Statute","","","",15
"1260","Legal Deadline: None","","","",16
"1261","Rulemaking Project Initiated: 08/10/2005","","","",17
"1262","Docket Number: FTA-2009-0030","","","",18
"1263","Dates for NPRM:","","","",19
"1270","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"1448","","","","",21
"1499","","","","",22
"1551","","","","",23
"1271","Federal Register Citation for NPRM: None","","","",24
"12721","Federal Transit Administration","","","",1
"1275","Popular Title: New Starts (Major Capital Investment Projects)","","Major Capital Investment Projects","Red",2
"1276","RIN 2132-AB02","","","",3
"1277","Stage: NPRM","","","",4
"1278","Previous Stage: ANPRM: Publication Date 6/3/2010; End of Comment Period 8/2/2010.","","","",5
"1279","Abstract: This rulemaking would make changes to the regulations that govern the New Starts discretionary funding program authorized by 49 U.S.C. 5309. FTAå«s initial rulemaking on this subject (RIN 2132-AA81), initiated to meet the statutory deadline, was terminated as the result of subsequent Congressional action prohibiting FTA from issuing a rule.","","","",6
"1280","Effects:","","","",7
"12811","None","None","","",8
"10891","","","","",9
"11411","","","","",10
"11941","","","","",11
"12472","","","","",12
"13002","","","","",13
"1353","","","","",14
"1354","Promting action: ","","","",15
"1282","Legal Deadline: Final Rule by : 04/07/2006","","","",16
"12831","Rulemaking Project Initiated: 03/08/2010","","","",17
"1284","Docket Number: FTA-2010-0009","","","",18
"1285","Dates for NPRM:","","","",19
"12922","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"1476","","","","",21
"1528","","","","",22
"15811","","","","",23
"1293","Federal Register Citation for NPRM: None","","","",24
"1294","Maritime Administration","","","",1
"12981","Popular Title: Foreign Reconstruction and Rebuild Determinations","","Foreign Reconstruction and Rebuild Determinations","Red",2
"1299","RIN 2133-AB69","","","",3
"13001","Stage: Withdrawal","","","",4
"1301","Previous Stage: Notice Requesting Comments: Publication Date 11/14/2007; End of Comment Period 1/14/2008.","","","",5
"1302","Abstract: This rulemaking would have considered whether to amend the Capital Construction Fund and cargo preference regulations to set out specific procedures for determining when a vessel is no longer eligible for such programs because the vessel has been either reconstructed or rebuilt abroad. The rule is being withdrawn because the issue has been addressed by court decisions.","","","",6
"1303","Effects:","","","",7
"1304","Foreign","Foreign","","",8
"11101","","","","",9
"11631","","","","",10
"1217","","","","",11
"12711","","","","",12
"1325","","","","",13
"1379","","","","",14
"1305","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"1306","Legal Deadline: None","","","",16
"1307","Rulemaking Project Initiated: 05/29/2007","","","",17
"1308","Docket Number:  Dates for Withdrawal:","","","",18
"1452","Dates for Unknown","","","",19
"1312","Explanation for any delay: Additional coordination necessary Federal Register Citation for Withdrawal: 75 FR 68019  ","","","",20
"1501","","","","",21
"1554","","","","",22
"1608","","","","",23
"13131","Federal Register Citation for Withdrawal: 75 FR 68019","","","",24
"1314","Maritime Administration","","","",1
"1318","Popular Title: Cargo Preference","","Having Responsibility To Provide a Preference for U.S.-Flag Vessels in the Shipment of Cargoes on Ocean Vessels.","",2
"1319","RIN 2133-AB74","","","",3
"1320","Stage: Undetermined","","","",4
"1321","Previous Stage: ANPRM: Publication Date 01/28/99; End of Comment Period 03/29/99; Withdrawn 02/14/05","","","",5
"1322","Abstract: This rulemaking would revise and clarify the Cargo Preference rules that have not been revised substantially since 1971. Revisions would include an updated purpose and definitions section along with the removal of obsolete provisions.","","","",6
"1323","Effects:","","","",7
"1324","Information Collection Foreign","Information Collection Foreign","","",8
"11281","","","","",9
"1182","","","","",10
"12371","","","","",11
"12921","","","","",12
"1347","","","","",13
"14022","","","","",14
"13251","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"13261","Legal Deadline: None","","","",16
"1327","Rulemaking Project Initiated: 06/21/2008","","","",17
"1328","Docket Number:","","","",18
"1329","Dates for Undetermined:","","","",19
"1336","Explanation for any delay: N/A Federal Register Citation for Undetermined: None  ","","","",20
"1529","","","","",21
"1583","","","","",22
"1638","","","","",23
"13371","Federal Register Citation for Undetermined: None","","","",24
"1338","Maritime Administration","","","",1
"1341","Popular Title: Cargo Preference Statutory Changes","","Cargo Preference - Compromise, Assessment, Mitigation, Settlement & Collection of Civil Penalties","Black",2
"1342","RIN 2133-AB75","","","",3
"13431","Stage: Undetermined","","","",4
"1344","Previous Stage:None","","","",5
"1345","Abstract: This rulemaking would establish Part 383 of the Cargo Preference regulations. This rulemaking would cover P.L. 110-417, Section 3511 National Defense Authorization Act for FY2009 statutory changes to the cargo preference rules, which have not been substantially revised since 1971. The rulemaking also would include compromise, assessment, mitigation, settlement, and collection of civil penalties.","","","",6
"1346","Effects:","","","",7
"13471","Regulatory Flexibility Act Information Collection Foreign","Regulatory Flexibility Act Information Collection Foreign","","",8
"11501","","","","",9
"12051","","","","",10
"12611","","","","",11
"1317","","","","",12
"1373","","","","",13
"1429","","","","",14
"1431","Promting action: ","","","",15
"1348","Legal Deadline: None","","","",16
"1349","Rulemaking Project Initiated: 10/14/2008","","","",17
"1350","Docket Number:","","","",18
"1351","Dates for Undetermined:","","","",19
"1358","Explanation for any delay: N/A Federal Register Citation for Undetermined: None  ","","","",20
"1557","","","","",21
"1612","","","","",22
"1668","","","","",23
"1359","Federal Register Citation for Undetermined: None","","","",24
"1360","National Highway Traffic Safety Administration","","","",1
"1364","Popular Title: Ejection Mitigation","","Ejection Mitigation","Red",2
"13651","RIN 2127-AK23","","","",3
"1366","Stage: Final Rule","","","",4
"1367","Previous Stage: NPRM: Publication Date 12/2/2009; End of Comment Period 2/2/2010.","","","",5
"1368","Abstract: This rulemaking would create a new Federal Motor Vehicle Safety Standard (FMVSS) for reducing occupant ejection. Currently, there are over 52,000 annual ejections in motor vehicle crashes, and over 10,000 ejected fatalities per year. This rulemaking would propose new requirements for reducing occupant ejection through passenger vehicle side widows. The requirement would be an occupant containment requirement on the amount of allowable excursion through passenger vehicle side windows. The Safe, Accountable, Flexible, Efficient, Transportation Equity Act (SAFETEA-LU) requires that ""[t]he Secretary shall also initiate a rulemaking proceeding to establish performance standards to reduce complete and partial ejections of vehicle occupants from outboard seating positions. In formulating the standards the Secretary shall consider various ejection mitigation systems. The Secretary shall issue a final rule under this paragraph no later than October 1, 2009."" SAFETEA-LU also requires that, if the Secretary determines that the subject final rule deadline cannot be met, the Secretary shall notify and provide an explanation to the Senate Committee on Commerce, Science and Transportation and the House of Representatives Committee on Energy and Commerce of the delay. On September 24, 2009, the Secretary provided appropriate notification to Congress that the final rule will be delayed until January 31, 2011.","","","",6
"1370","Effects:","","","",7
"1371","Economically Significant Major","Economically Significant Major","","",8
"13721","Unfunded Mandate EU","Unfunded Mandate EU","","",9
"13731","NAFTA","NAFTA","","",10
"1374","Foreign","Foreign","","",11
"13411","","","","",12
"1398","","","","",13
"1455","","","","",14
"1458","Promting action: ","","","",15
"1375","Legal Deadline: Final Rule : 10/01/2009","","","",16
"1376","Rulemaking Project Initiated: 08/10/2005 Docket Number: NHTSA-2009-0183 Dates for Final Rule:","","","",17
"1362","Docket Number: Unknown","","","",18
"1530","Dates for Unknown","","","",19
"1382","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None  ","","","",20
"1584","","","","",21
"1640","","","","",22
"1697","","","","",23
"1383","Federal Register Citation for Final Rule: None","","","",24
"13841","National Highway Traffic Safety Administration","","","",1
"1387","Popular Title: Rearview Mirrors","","Federal Motor Vehicle Safety Standard No. 111, Rearview Mirrors","Red",2
"1388","RIN 2127-AK43","","","",3
"1389","Stage: NPRM","","","",4
"1390","Previous Stage: ANPRM: Publication Date 03/04/09; End of Comment Period 05/04/09","","","",5
"1391","Abstract: This rulemaking would amend Federal Motor Vehicle Standard No. 111; Rearview Mirrors, to reflect requirements contained in the Cameron Gulbransen Kids Transportation Safety Act of 2007. The Act requires that NHTSA expand the required field of view to enable the driver of a motor vehicle to detect areas behind the motor vehicle to reduce death and injury resulting from backing incidents, particularly incidents involving small children and disabled persons. According to the Act, such a standard may be met by the provision of additional mirrors, sensors, cameras, or other technology to expand the driverå«s field of view.","","","",6
"1392","Effects:","","","",7
"1393","EU NAFTA","EU NAFTA","","",8
"1394","Foreign","Foreign","","",9
"12471","","","","",10
"13041","","","","",11
"13621","","","","",12
"14202","","","","",13
"1478","","","","",14
"1395","Prompting action: Statute","","","",15
"1396","Legal Deadline: Initiate rulemaking : 02/28/2009","","","",16
"1397","Final Rule : 02/28/2011 Rulemaking Project Initiated: 11/06/2008 Docket Number: NHTSA-2009-0041","","","",17
"15293","Docket Number: Unknown","","","",18
"13981","Dates for NPRM:","","","",19
"1405","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 76185  ","","","",20
"16121","","","","",21
"1669","","","","",22
"1727","","","","",23
"1406","Federal Register Citation for NPRM: 75 FR 76185","","","",24
"1407","National Highway Traffic Safety Administration","","","",1
"1410","Popular Title: Automatic Reversal Systems","","FMVSS No. 118 Automatic Reversal Systems","Red",2
"1411","RIN 2127-AK52","","","",3
"1412","Stage: Final Rule","","","",4
"14131","Previous Stage: NPRM: Publication Date 9/01/2009; End of Comment Period 11/02/2009.","","","",5
"1414","Abstract: This rulemaking would require automatic reversal systems (ARS) only on those windows that close without continuous actuation of the window switch by the window operator. This rulemaking was initiated per requirements in the Cameron Gulbransen Kids Transportation Safety Act of 2007.","","","",6
"1415","Effects:","","","",7
"1416","EU NAFTA","EU NAFTA","","",8
"1417","Foreign","Foreign","","",9
"12691","","","","",10
"13271","","","","",11
"1386","","","","",12
"1445","","","","",13
"15042","","","","",14
"1418","Prompting action: Statute","","","",15
"1419","Legal Deadline: Changed by Letter from the Secretary to Congress : 03/01/2011 Final Rule : 08/28/2010","","","",16
"14201","Initiate Rulemaking : 08/28/2009 Rulemaking Project Initiated: 06/25/2009 Docket Number: NHTSA-2009-0154","","","",17
"1556","Docket Number: Unknown","","","",18
"1421","Dates for Final Rule:","","","",19
"1427","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None  ","","","",20
"1639","","","","",21
"16971","","","","",22
"1756","","","","",23
"1428","Federal Register Citation for Final Rule: None","","","",24
"14291","National Highway Traffic Safety Administration","","","",1
"14321","Popular Title: Seat Belts on Motorcoaches","","Require Installation of Seat Belts on Motorcoaches, FMVSS No. 208","Green",2
"1433","RIN 2127-AK56","","","",3
"1434","Stage: Final Rule","","","",4
"1435","Previous Stage:None","","","",5
"1436","Abstract: This rulemaking would require the installation of lap/shoulder belts in newly- manufactured motorcoaches. Specifically, this rulemaking would establish a new definition for motorcoaches in 49 CFR Part 571.3. It would also amend Federal Motor Vehicle Safety Standard No. 208, ""Occupant crash protection,"" to require the installation of lap/shoulder belts at all driver and passenger seating positions. It would also require the installation of lap/shoulder belts at driver seating positions of large school buses in FMVSS No. 208. This rulemaking responds, in part, to recommendations made by the National Transportation Safety Board for improving bus safety.","","","",6
"1438","Effects:","","","",7
"1439","EU NAFTA","EU NAFTA","","",8
"1440","Foreign","Foreign","","",9
"12901","","","","",10
"13491","","","","",11
"1409","","","","",12
"1469","","","","",13
"15292","","","","",14
"1441","Prompting action: None","","","",15
"14421","Legal Deadline: None","","","",16
"1443","Rulemaking Project Initiated: 08/12/2009 Docket Number: NHTSA-2010-0112 Dates for Final Rule:","","","",17
"14341","Docket Number: Unknown","","","",18
"1609","Dates for Unknown","","","",19
"1449","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"1666","","","","",21
"1725","","","","",22
